timestamp,open,high,low,close,volume,ma5,ma10,ma30,ma60,bb_bbm,bb_bbh,bb_bbl
2023-01-07,16943.9,16973.6,16900.1,16936.5,77973.105,16842.68,16725.879999999997,16878.82,16783.325,16739.504999999997,17028.000036179114,16451.00996382088
2023-01-08,16936.5,17181.1,16905.0,17124.7,157717.318,16934.18,16775.32,16878.91,16803.653333333332,16774.280000000002,17072.289030735632,16476.270969264373
2023-01-09,17124.6,17387.8,17098.2,17169.7,400277.809,16999.7,16832.17,16880.566666666666,16796.681666666667,16788.405000000002,17130.06642582971,16446.743574170294
2023-01-10,17169.6,17485.4,17140.4,17428.8,297320.371,17120.7,16921.29,16892.283333333333,16802.856666666667,16818.864999999998,17260.280687419454,16377.449312580542
2023-01-11,17428.8,18013.2,17306.4,17935.7,386277.106,17319.079999999998,17053.829999999998,16916.806666666667,16821.670000000002,16874.875000000004,17531.960342630617,16217.78965736939
2023-01-12,17935.6,19120.0,17902.4,18838.0,1040334.76,17699.379999999997,17271.03,16952.170000000002,16863.616666666665,16977.955,18054.101686051672,15901.808313948331
2023-01-13,18838.1,19997.8,18711.0,19924.2,806807.832,18259.28,17596.730000000003,17022.846666666665,16918.933333333334,17132.719999999998,18804.21971893506,15461.220281064936
2023-01-14,19924.3,21544.0,19882.6,20962.8,1010666.683,19017.9,18008.8,17143.213333333333,16986.841666666667,17339.640000000003,19692.837416622755,14986.442583377251
2023-01-15,20962.8,21073.8,20556.0,20882.7,428486.559,19708.68,18414.690000000002,17285.166666666668,17057.376666666667,17538.129999999997,20340.660711410666,14735.599288589328
2023-01-16,20882.7,21498.0,20606.6,21188.3,666148.201,20359.2,18839.14,17432.510000000002,17132.48,17762.635000000002,20952.653829583927,14572.616170416077
2023-01-17,21188.2,21640.0,20827.8,21130.9,547390.593,20817.780000000002,19258.579999999998,17579.196666666667,17206.5,17992.23,21446.929694097882,14537.530305902117
2023-01-18,21130.8,21672.0,20386.0,20680.0,813785.517,20968.940000000002,19614.109999999997,17720.890000000003,17272.951666666668,18194.715,21778.67930298908,14610.75069701092
2023-01-19,20680.1,21183.9,20659.9,21068.3,374733.617,20990.04,20003.97,17860.260000000002,17352.879999999997,18418.07,22131.409526679454,14704.730473320546
2023-01-20,21068.3,22750.0,20856.4,22661.1,723645.2,21345.719999999998,20527.2,18054.97666666667,17467.681666666664,18724.245000000003,22762.48040050602,14686.009599493986
2023-01-21,22661.0,23390.0,22422.0,22781.9,764681.1,21664.440000000002,21011.82,18253.85666666667,17577.036666666667,19032.825,23313.668236034227,14751.981763965774
2023-01-22,22781.8,23080.2,22287.0,22704.6,482529.811,21979.18,21398.48,18451.463333333333,17678.85,19334.755,23754.821303337543,14914.68869666246
2023-01-23,22704.7,23193.1,22500.0,22913.1,525802.84,22425.8,21697.37,18654.27,17784.195,19647.05,24150.894370090955,15143.205629909044
2023-01-24,22913.3,23158.7,22450.0,22627.4,505615.816,22737.620000000003,21863.829999999998,18847.70333333333,17886.05,19936.315,24425.509301107937,15447.120698892062
2023-01-25,22627.5,23837.4,22310.5,23060.6,692786.607,22817.52,22081.62,19052.626666666663,17996.239999999998,20248.155,24695.46544091819,15800.844559081808
2023-01-26,23060.6,23278.7,22843.8,23001.9,427760.786,22861.52,22262.98,19262.75,18105.895,20551.06,24880.544301114853,16221.57569888515
2023-01-27,23001.9,23500.0,22516.6,23068.0,509920.307,22934.2,22456.690000000002,19480.383333333335,18220.28666666667,20857.635000000002,24983.464611738706,16731.8053882613
2023-01-28,23068.1,23185.0,22870.8,23015.9,186400.943,22954.76,22690.280000000002,19693.236666666668,18329.998333333333,21152.195,25001.87919872331,17302.51080127669
2023-01-29,23016.0,23962.7,22961.5,23740.3,562028.231,23177.34,22957.48,19931.206666666665,18439.78166666667,21480.725,25024.161862637728,17937.28813736227
2023-01-30,23740.2,23804.6,22484.2,22819.9,572537.407,23129.200000000004,22973.36,20140.616666666665,18537.271666666664,21750.28,24806.48089365864,18694.079106341356
2023-01-31,22819.9,23330.0,22715.3,23119.4,403726.966,23152.7,23007.11,20357.586666666666,18637.878333333334,22009.465,24566.093687373253,19452.836312626747
2023-02-01,23119.5,23852.4,22747.0,23730.0,571429.711,23285.1,23109.65,20593.053333333333,18752.053333333337,22254.065,24462.558534765238,20045.57146523476
2023-02-02,23730.1,24281.4,23365.0,23493.1,615740.338,23380.54,23167.65,20820.583333333332,18858.613333333335,22432.510000000002,24425.362373759748,20439.657626240256
2023-02-03,23493.0,23719.9,23201.0,23424.7,470831.438,23317.420000000002,23247.379999999997,21040.003333333338,18966.38666666667,22555.605,24472.824280598816,20638.385719401183
2023-02-04,23424.7,23591.4,23250.0,23322.6,197118.393,23417.96,23273.58,21256.63,19070.45333333333,22677.6,24459.209577881706,20895.99042211829
2023-02-05,23322.6,23436.0,22741.0,22929.2,356665.034,23379.920000000002,23266.31,21456.143333333333,19172.14,22764.644999999997,24411.72817151861,21117.561828481383
2023-02-06,22929.3,23159.4,22600.0,22757.7,417160.143,23185.46,23235.28,21650.183333333334,19264.501666666667,22845.985,24313.16027688406,21378.80972311594
2023-02-07,22757.8,23368.6,22742.4,23234.1,447273.494,23133.659999999996,23257.1,21853.83,19366.37,22973.69,24059.598592654,21887.781407345996
2023-02-08,23234.1,23450.0,22662.9,22955.9,383465.481,23039.9,23178.66,22046.703333333335,19463.635000000002,23068.07,23714.23423639798,22421.90576360202
2023-02-09,22955.9,23007.8,21684.7,21793.4,732295.35,22734.059999999998,23076.010000000002,22192.19,19542.236666666668,23024.685,23862.438539592516,22186.931460407486
2023-02-10,21793.3,21933.8,21405.0,21618.6,439986.497,22471.94,22925.93,22314.953333333335,19615.879999999997,22966.52,24001.857828150696,21931.182171849305
2023-02-11,21618.6,21891.9,21594.4,21851.3,189249.667,22290.66,22738.059999999998,22415.396666666667,19683.783333333333,22923.855,24063.883912747304,21783.826087252695
2023-02-12,21851.2,22080.9,21618.0,21771.1,276787.093,21998.06,22565.86,22476.96,19749.903333333332,22866.755,24112.696397458087,21620.813602541915
2023-02-13,21771.0,21888.0,21338.0,21766.2,511595.693,21760.120000000003,22400.010000000002,22503.74,19823.47666666667,22823.695,24156.26372614504,21491.12627385496
2023-02-14,21766.1,22320.0,21485.2,22187.4,598791.509,21838.920000000002,22286.489999999998,22547.229999999996,19916.19833333333,22780.035,24135.713463758948,21424.35653624105
2023-02-15,22187.4,24420.0,22038.5,24332.6,824676.471,22381.72,22426.83,22652.04,20042.275,22846.57,24360.638450368016,21332.501549631983
2023-02-16,24332.7,25290.0,23518.0,23526.6,959463.159,22716.78,22503.72,22731.896666666667,20155.54666666667,22869.5,24409.94865023142,21329.05134976858
2023-02-17,23526.6,25043.2,23350.0,24581.5,922717.148,23278.86,22638.46,22861.946666666667,20291.418333333335,22947.780000000002,24659.61329164957,21235.946708350435
2023-02-18,24581.3,24887.5,24430.6,24636.9,261555.556,23853.0,22806.56,22980.9,20420.58,22992.609999999997,24827.64187645332,21157.578123546675
2023-02-19,24636.8,25200.0,24179.4,24265.9,543506.628,24268.7,23053.81,23034.393333333333,20544.685,23064.91,24979.25598847747,21150.56401152253
2023-02-20,24265.9,25140.0,23827.0,24849.9,646401.072,24372.159999999996,23376.94,23103.326666666664,20678.591666666667,23151.435,25218.175982585817,21084.694017414186
2023-02-21,24849.9,25347.6,24150.0,24443.4,729290.575,24555.52,23636.15,23161.286666666667,20806.375,23187.105,25316.24006239031,21057.96993760969
2023-02-22,24443.3,24468.5,23572.0,24171.3,730414.101,24473.480000000003,23876.170000000002,23203.22666666667,20928.748333333333,23221.015,25389.79759240058,21052.23240759942
2023-02-23,24171.3,24588.0,23590.0,23928.8,751339.414,24331.859999999997,24092.43,23246.606666666667,21047.155000000002,23246.22,25435.505538800222,21056.93446119978
2023-02-24,23928.7,24138.6,22800.0,23175.6,731577.942,24113.8,24191.25,23250.44,21151.533333333333,23238.870000000003,25428.067509682438,21049.672490317567
2023-02-25,23175.5,23210.5,22700.0,23146.2,310795.648,23773.06,24072.61,23255.25,21259.0,23249.72,25434.81800475855,21064.621995241454
2023-02-26,23146.2,23675.0,23050.0,23545.3,371395.056,23593.44,24074.48,23271.16,21375.771666666664,23289.1,25465.681476536032,21112.518523463965
2023-02-27,23545.2,23888.0,23088.0,23480.0,576754.966,23455.18,23964.329999999998,23286.629999999997,21489.933333333334,23301.395,25479.372460374598,21123.417539625403
2023-02-28,23480.0,23592.8,23010.0,23129.6,456919.838,23295.340000000004,23813.6,23266.273333333334,21598.739999999998,23310.079999999998,25483.85861025445,21136.301389745546
2023-03-01,23129.7,24022.7,23008.4,23619.8,617250.311,23384.18,23748.989999999998,23292.936666666665,21716.77666666667,23401.4,25463.21418367412,21339.58581632588
2023-03-02,23619.8,23790.5,23183.0,23457.1,419256.601,23446.36,23609.71,23304.193333333333,21830.89,23493.325,25386.000945718068,21600.649054281934
2023-03-03,23457.1,23468.5,21883.2,22342.8,608518.137,23205.859999999997,23399.65,23257.95333333333,21925.503333333334,23517.9,25335.94808737277,21699.851912627233
