timestamp,open,high,low,close,volume
2025-04-30 20:00:00,94118.2,94751.8,93950.0,94125.1,19142.377
2025-05-01 00:00:00,94125.2,94978.1,94086.7,94737.5,19363.191
2025-05-01 04:00:00,94737.6,95146.2,94660.2,94978.6,16342.808
2025-05-01 08:00:00,94978.6,96351.8,94866.6,96129.9,41762.093
2025-05-01 12:00:00,96130.0,97388.0,95742.1,96793.9,62733.29
2025-05-01 16:00:00,96793.9,97300.0,96344.4,96459.1,28899.433
2025-05-01 20:00:00,96459.5,96834.4,96122.4,96423.3,15425.94
2025-05-02 00:00:00,96423.2,97193.7,96400.0,97054.9,17200.018
2025-05-02 04:00:00,97055.0,97262.0,96283.1,96302.0,19341.642
2025-05-02 08:00:00,96302.0,97072.2,96300.0,96875.7,14786.274
2025-05-02 12:00:00,96875.7,97865.4,96585.1,97270.1,54228.73
2025-05-02 16:00:00,97270.1,97740.0,96700.0,96856.8,23304.485
2025-05-02 20:00:00,96856.8,97083.4,96507.6,96831.2,10336.377
2025-05-03 00:00:00,96831.2,96868.4,96255.0,96292.1,12788.794
2025-05-03 04:00:00,96292.1,96557.7,96064.1,96290.8,10809.148
2025-05-03 08:00:00,96290.8,96377.8,95804.8,95895.6,15912.985
2025-05-03 12:00:00,95895.7,96456.0,95834.4,96358.7,11574.759
2025-05-03 16:00:00,96358.7,96370.0,95812.7,96312.0,10135.037
2025-05-03 20:00:00,96312.0,96399.9,95700.0,95803.3,10199.906
2025-05-04 00:00:00,95803.3,96266.6,95508.7,95680.0,14654.377
2025-05-04 04:00:00,95680.0,96109.6,95634.0,95842.1,9794.382
2025-05-04 08:00:00,95842.1,95886.5,95227.2,95376.0,17133.692
2025-05-04 12:00:00,95376.0,95649.0,95172.4,95421.1,13352.424
2025-05-04 16:00:00,95421.1,95590.0,95200.1,95533.9,9415.553
2025-05-04 20:00:00,95534.0,95700.0,94116.4,94230.2,29910.449
2025-05-05 00:00:00,94230.2,94750.1,93445.1,94001.1,35169.994
2025-05-05 04:00:00,94001.2,94778.5,93980.0,94696.4,18884.983
