timestamp,open,high,low,close,volume
2025-01-21,102247.7,107241.6,100097.2,106114.5,273296.828
2025-01-22,106115.4,106390.0,103211.6,103664.9,151243.528
2025-01-23,103664.9,106840.2,101211.0,103864.1,418154.019
2025-01-24,103864.0,107076.5,102680.0,104808.1,165746.95
2025-01-25,104808.0,105274.7,104040.6,104702.0,65630.163
2025-01-26,104702.0,105496.9,102450.3,102560.1,75787.087
2025-01-27,102560.0,103216.5,97680.0,102021.3,325689.874
2025-01-28,102021.3,103797.0,100235.0,101279.6,169917.261
2025-01-29,101279.7,104755.0,101269.7,103698.2,169989.952
2025-01-30,103698.1,106450.0,103224.5,104676.9,136967.4
2025-01-31,104676.9,106000.0,101509.0,102379.7,172237.817
2025-02-01,102379.8,102734.9,100215.0,100603.6,90863.091
2025-02-02,100603.6,101426.0,96029.6,97664.5,232934.693
2025-02-03,97664.5,102456.0,91130.3,101293.7,455088.034
2025-02-04,101293.6,101729.3,96100.0,97709.9,262746.203
2025-02-05,97710.0,99124.2,96106.1,96553.2,151379.666
2025-02-06,96553.2,99093.0,95613.5,96515.1,161521.013
2025-02-07,96515.0,100112.4,95555.0,96454.5,223373.629
2025-02-08,96454.5,96850.0,95600.0,96411.9,69050.432
2025-02-09,96412.0,97301.7,94650.1,96423.6,101177.286
2025-02-10,96423.6,98328.0,95200.1,97379.2,132932.545
2025-02-11,97379.2,98482.2,94814.3,95731.4,154832.904
2025-02-12,95731.4,98090.9,94003.9,97816.3,202448.079
2025-02-13,97816.3,98053.8,95160.1,96560.6,142240.526
2025-02-14,96560.6,98792.8,96225.7,97445.1,144452.957
2025-02-15,97445.2,97941.2,97170.0,97538.0,47418.593
2025-02-16,97538.0,97665.8,96002.0,96067.0,56684.873
2025-02-17,96067.0,97000.0,95150.6,95743.2,105576.986
2025-02-18,95743.1,96737.3,93321.6,95622.0,179173.362
2025-02-19,95622.0,96878.7,95012.5,96598.0,124996.873
2025-02-20,96597.9,98662.1,96366.0,98252.9,129180.172
2025-02-21,98252.8,99431.5,94830.4,96127.9,250618.273
2025-02-22,96128.0,96988.0,95701.9,96503.3,65792.15
2025-02-23,96503.3,96602.9,95180.2,96218.4,69298.691
2025-02-24,96218.4,96470.0,91300.0,91514.5,217488.75
2025-02-25,91514.5,92500.0,86020.4,88639.1,472296.502
2025-02-26,88639.1,89367.1,82222.0,84208.5,401141.821
2025-02-27,84208.6,87066.0,82667.0,84668.1,269408.53
2025-02-28,84668.2,85084.5,78200.2,84299.6,536343.231
2025-03-01,84299.6,86516.5,83779.0,86007.7,146996.671
2025-03-02,86007.7,94971.0,85015.0,94222.8,364711.538
2025-03-03,94222.0,94373.4,85029.0,86192.7,436032.402
2025-03-04,86193.3,88931.0,81200.0,87245.9,432434.798
2025-03-05,87245.9,91000.0,86328.0,90566.1,279001.09
2025-03-06,90566.1,92780.3,87790.5,89887.8,303058.632
2025-03-07,89887.9,91257.7,84600.0,86753.8,452474.195
2025-03-08,86753.8,86876.5,85108.0,86184.7,96106.187
